content,date,source,title,url
"
	,
	,

,
,
// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
,
	
	,(서울=연합뉴스) 박의래 기자 = 우리은행은 민영화 성공을 기념해 주거래 고객에게 더 높은 금리와 유리한 우대조건을 제공하는 '위비 슈퍼 주거래 패키지'를 출시했다고 2일 밝혔다.,    이 상품은 정기예금과 자유적금으로 구성돼 있다. ,    정기예금 가입금액은 100만원 이상 5천만원 이내, 가입 기간은 6개월, 1년 중 선택할 수 있다.,    금리는 3개월 마다 시장금리를 즉각 반영할 수 있는 코리보(KORIBOR)를 활용해 금리 상승기에 금리상승 효과를 누릴 수 있다.,    또 가입할 때 우대금리가 결정되는 보통 상품과 달리 이 상품은 분기별로 은행거래실적을 반영해 가입 기간 중에라도 최대 0.3%포인트까지 우대금리를 받을 수 있다.,    현재 1년제 기준 최고 금리는 연 1.88%다.,    적금은 가입금액은 매월 50만 원 이하, 가입 기간은 1년, 2년, 3년 중 선택할 수 있다.,    은행 거래실적에 따라 우대금리를 최대 1.0%포인트까지 제공하며, 금리는 상품 출시일 현재 1년제 기준 최고 연 2.2%다.,    가입 기간 중에라도 3개월마다 거래실적을 반영해 우대금리를 제공한다.,우리은행 '위비 슈퍼 주거래 패키지' 광고. [우리은행 제공=연합뉴스],    laecorp@yna.co.kr,
	,
	",2017.01.02. 오전 11:44,연합뉴스,"우리은행, 변동금리형 예금상품 출시",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0008930083
"
	,
	,

,
,
// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
,
	
	,금통위 열고 있는 이주열 총재
    (서울=연합뉴스) 정하종 기자 = 13일 오전 서울 중구 한국은행에서 이주열 총재 주재로 2017년 제1차 금융통화위원회가 열리고 있다.     chc@yna.co.kr
,(서울=연합뉴스) 김지훈 기자 = 한국은행은 13일 오전 이주열 총재 주재로 올해 첫 금융통화위원회를 열어 기준금리를 현재의 연 1.25%로 동결하기로 했다.,    이로써 한은 기준금리는 작년 6월 0.25%포인트 내린 뒤 7개월째 동결됐다., ,    hoonkim@yna.co.kr,
	,
	","2017.01.13. 오전 9:58,2017.01.13. 오전 10:05",연합뉴스,한국은행 기준금리 동결…연 1.25% 유지(1보),https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0008956511
"
	,
	,

,
,
// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
,
	
	, [연합뉴스TV제공],롯데쇼핑·이마트·현대제철 등 잇따라 회사채 발행,(서울=연합뉴스) 김현정 기자 = 기업들이 올해 들어서자마자 회사채 발행을 통한 자금조달에 서두르고 있다. ,    미국의 추가 금리인상 우려가 커지고 국내외 정치적 불확실성이 가중되고 있어 한시라도 빨리 자금을 확보해두는 게 여러모로 유리하다는 판단이 작용한 것으로 분석됐다. ,    6일 금융투자업계에 따르면 이달 롯데쇼핑(AA+), 이마트(신용등급 AA+), 현대제철(AA), CJ E&M(AA-) 등이 줄줄이 회사채 발행에 나섰다.,    롯데쇼핑은 당장 만기 도래분이 없음에도 오는 23일 2천500억원어치를 발행한다. 운영자금을 미리 마련하기 위해서다.,    롯데쇼핑 관계자는 ""미국 기준금리가 연내 2~3회 오를 것이란 전망과 국내외 정치적 불확실성이 커지는 상황 등을 고려한 것""이라고 설명했다. ,    통상 미국 금리가 오르면 국내 채권시장 금리 상승에도 영향을 미쳐 기업들의 자금조달 비용이 올라간다. ,    만기가 돌아오는 회사채도 현금상환보다는 회사채 차환을 택하는 분위기다.,    이마트(AA+)는 이달 10일 4천300억원어치를 발행한다. ,    회사 측은 이번 발행은 2014년 발행해 만기가 돌아오는 3천억원 규모의 회사채를 차환하기 위한 목적이라고 설명했다.,    원래 3천억원어치를 발행하려고 했으나 수요예측에서 1조원의 뭉칫돈이 몰리자 1천300억원을 증액 발행할 계획이다. ,    김선주 SK증권 연구원은 ""연초 기관들이 우량물 위주로 포트폴리오에 담는 경향이 있다""며 ""우량채 위주로 자금 수요가 몰리는 현상이 계속될 것""이라고 예상했다. 이달 24일께 현대제철도 회사채 차환 목적으로 3천억원어치를 발행한다. ,    이 외 이달 중 CJ E&M이 1천억원, 파라다이스(AA-)가 1천억원어치 회사채를 찍는다. 삼성물산(AA+)도 이달 하순경 발행을 검토하고 있다. ,    에쓰오일(S-OIL)(AA+)은 회사채를 연내 발행한다면서도 아직 발행 시기 및 규모를 정해놓지 않았다.,    비교적 양호한 신용등급인 싱글 A급 회사채 발행도 이어진다.,    CJ헬로비전(A+)은 이달 20일 회사채 및 기업어음 차환 목적으로 1천억원어치를 발행한다.,    SK그룹으로 피인수가 무산되면서 지난해 8월 신용등급이 AA-에서 A+로 강등된 후 첫 회사채 발행이다. ,    이 외 한화케미칼(A+)과 한솔케미칼(A-)이 각각 500억원어치 발행에 나선다. ,    한라(BBB)도 이달 중 500억원어치를 발행한다는 계획이다. 한라는 2012년 9월 이후 약 4년 4개월 만에 공모채 시장을 두드린 것이다.,    한편 시장에서는 1~2월 중 회사채 발행이 집중될 것으로 보고 있다.,    미국 금리인상 시기가 3월로 앞당겨질 가능성에다 정치적 불확실성이 가중되고 있기 때문이다. ,    한국의 대통령선거가 앞당겨지면 3월에 '벚꽃 대선'이 펼쳐질 수도 있다는 가능성도 불안 심리를 자극했다.,    이달 20일 미국 대통령에 취임하는 도널드 트럼프 당선인의 정책의 방향성이 불확실한 점도 시장 변동성을 키우는 요인이다.,    한 시장 관계자는 ""국내외 정치 불확실성에 불안감을 느낀 기업들이 3월이 오기 전인 1~2월에 회사채를 서둘러 발행할 것으로 보인다""고 말했다.,    kaka@yna.co.kr,
	,
	","2017.01.06. 오후 1:30,2017.01.06. 오후 1:32",연합뉴스,'미 금리인상 전에'…기업들 자금조달 서둘러(종합),https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0008940678
"
	,
	,

,
,
// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
,
	
	,(창원=연합뉴스) 황봉규 기자 = 경남도는 영세 소상공인 자금난 해소와 지역경제 활성화를 위해 소상공인 정책자금 500억원을 지원한다고 11일 밝혔다.,    도는 조선업 불황 등으로 어려움을 겪는 소상공인을 위해 자금을 지난해보다 200억원 늘렸다.,    도내 사업장을 둔 소상공인 중 광업·제조·건설·운수업은 상시종업원 10인 미만, 도·소매업 등 그 밖의 업종은 상시종업원 5인 미만 업체가 지원대상이다. ,    휴·폐업 중인 업체, 금융기관과 여신거래가 불가능한 업체, 국세 및 지방세 체납 중인 업체, 사치·향락업종 등은 지원대상에서 제외된다.,    경남신용보증재단 각 지점에 자금을 신청하면 신용도와 매출액 심사, 사업장 실사 등을 거쳐 융자 한도를 결정하고 신용보증서를 발급해준다.,    신용보증서를 발급받고 나서 60일 이내 취급은행에 자금 대출을 신청하면 된다.,    상반기 지원 규모는 250억원이다. 오는 12일부터 자금이 소진될 때까지 지원한다.,    융자 한도는 업체당 1억원이다. 1년 만기 일시상환 또는 1년 거치 3년 균분 상환 조건이다. ,    도는 융자금액에 대해 1년간 2.5%의 이자차액을 보전해준다.,    하반기에는 200억원을 지원한다.,    나머지 50억원은 올해 처음으로 취약계층 소상공인을 집중 지원하기 위한 '희망두드림 특별자금'으로 연중 운용한다.,    대표자가 6∼10등급의 저신용이면서 연소득 3천만원 이하의 저소득인 소상공인, 대표자가 사회적 취약계층인 소상공인이 지원대상이다.,    업체당 3천만원 한도로 융자받을 수 있다. ,    희망두드림 특별자금은 금융권과 협의해 대출 금리가 일정 기준 이상 올리지 않는 '대출금리 상한제'가 적용된다.,    백유기 도 기업지원단장은 ""올해 소상공인 정책자금은 그 규모를 확대하고 대출금리 상한제 등을 적용함으로써 도내 소상공인 경영안정에 도움이 될 것이다""며 ""특히 희망두드림 특별자금은 사회적 취약계층 소상공인들에게 희망의 불씨가 되기를 기대한다""고 밝혔다. ,소상공인 창업박람회 [연합뉴스 자료사진],    bong@yna.co.kr,
	,
	","2017.01.11. 오후 2:18,2017.01.11. 오후 4:56",연합뉴스,"경남도, 올해 소상공인 정책자금 500억원으로 확대",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0008951527
"
	,
	,

,
,
// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
,
	
	, [연합뉴스자료사진],평균 대출금액 1억1천373만원…월 상환액 60만원 ,대출 희망자 절반 ""고정금리 선호"",(서울=연합뉴스) 박초롱 기자 = 주택담보대출을 1억원 이상 받은 가구 비율이 최초로 50%를 넘어섰다. ,    주담대 이용 가구의 평균 대출금액은 1억1천373만원이었다.,    주택금융공사가 11일 발표한 '2016년도 주택금융 및 보금자리론 수요 실태조사'에 따르면 지난해 주택담보대출 이용 가구의 52.8%가 1억원 이상을 대출받은 것으로 나타났다.,    1억원 이상∼2억원 미만을 대출받은 가구가 37.8%, 2억원 이상 대출 가구는 15.0%였다.,    주금공의 조사는 지난해 8월 8일부터 9월 30일까지 가구주가 만 20∼59세인 전국 5천가구와 보금자리론을 이용하는 2천가구를 대상으로 진행됐다.,    관련 조사에서 1억원 이상의 주택담보대출을 받은 가구 비율이 50%를 넘어선 것은 이번이 처음이다. ,    2010년 조사 때 이 비율은 25.7%였고 2012년 36.5%, 2014년 44.3% 등으로 점차 높아졌다. 2015년 비율은 49.8%였다. ,    조사 대상 가구의 평균 주담대 금액은 1억1천373만원으로 1년 새 808만원 늘었다.,가구 주택담보대출금액 추이 [주택금융공사 제공],주담대 만기는 30년이 23.1%로 가장 많았으며 20년(20.6%), 10년(17.0%)이 뒤를 이었다. ,    주담대 이용 가구의 월평균 상환 금액은 60만원이었으며, 41.5%가 월 상환액에 부담을 느낀다고 답했다. ,    주택 가격이 오를 것으로 전망하는 가구 비율은 4년 만에 처음으로 하락세로 돌아섰다. , ,    1년 후 주택 가격이 상승할 것이라고 답한 가구는 2015년 40.9%에서 지난해 35.5%로 5.4%포인트 떨어졌다. 주택 가격 상승 기대가 그만큼 약해진 것이다. ,    3년 이내에 집을 살 의향이 있는 가구 비율은 53.9%로 1년 전보다 4.4%포인트 늘었다. ,    구입의향이 있는 주택 가격은 평균 3억876만원으로 2012년 이후 꾸준히 높아지고 있다. ,    아파트를 사고 싶어하는 가구의 경우 신규 청약으로 구입하고 싶다는 답변이 42.3%로 가장 많았고 기존 아파트 구입(35.1%), 보금자리주택 신규 청약(10.2%) 순서로 비율이 높았다.  ,1년 후 주택가격 변화 예상 [주택금융공사 제공],전세자금대출 이용 가구의 평균 대출금액은 6천735만원이었다. ,    이 중 1억원 이상의 전세자금을 대출받은 가구 비율이 26.5%였다. ,    전세 거주 가구의 전세 보증금은 평균 1억5천114만원으로 2010년 이후 계속 상승하고 있다. ,    주담대를 받을 의향이 있는 2명 중 1명은 고정금리를 선호하는 것으로 나타났다. 고정금리를 이용할 것이라는 답변 비중이 50.4%였고 변동금리는 26.0%, 혼합형 금리는 23.6%였다. ,서울 시내 한 새마을금고 앞에 내걸린 대출 안내 현수막.[연합뉴스 자료사진],    chopark@yna.co.kr,
	,
	","2017.01.11. 오후 1:45,2017.01.11. 오후 8:30",연합뉴스,1억원 이상 주택담보대출 받은 가구 최초로 50% 넘었다(종합),https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0008951403
"
	,
	,

,
,
// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
,
	
	, [연합뉴스자료사진],거래시간 30분 연장도 맥 못춰    ,(서울=연합뉴스) 박상돈 기자 = 최순실 국정농단 사건과 미국 금리인상이라는 대내외 악재가 겹친 탓에 작년 주식거래대금이 10% 이상 많이 줄어들었다. 특히 한국거래소가 지난해 주식 거래시간을 30분 늘리는 등 강력한 거래활성화 대책을 내놓았지만, 백약이 무효였다.,    한국거래소와 금융투자협회는 6일 지난해 유가증권시장과 코스닥시장의 주식 거래대금 합계는 2천54조원으로 전년보다 10.3% 감소했다고 추산했다.,    거래대금은 유가증권시장에서 1천177조원으로 14.6%나 줄었고 코스닥시장에서 877조원으로 3.7% 감소했다.,    거래대금이 줄어든 것은 2013년 이후 3년 만이다.,    주식 거래대금은 2006년 1천336억원 수준에서 2011년 2천349조원으로 늘어나기도 했지만 2014년 1천542조원으로 다시 줄었고 2015년 2천289조원으로 다시 회복하는 듯했지만 지난해 다시 감소세로 돌아섰다.,    지난해 주식 거래대금이 10% 이상 크게 감소한 주요 원인은 소위 '최순실 게이트' 로 정치적 불안감이 경제로까지 전방위로무차별적으로 영향을 미쳤고 미국이 금리인상을 단행하는 등 대내외 악재가 겹쳤다는 데서 찾을 수 있다.,    거래소가 지난해 8월 주식 거래시간을 30분 연장했는데도 오히려 거래규모가 줄어든 것은 최순실 게이트와 미국발 금리인상이 투자심리를 크게 위축시켰다는 방증일 수 있다는 것이다. , [연합뉴스TV제공],    지난해 8월 주식 거래대금은 181조원으로 전월(174조원)보다 4.0% 늘었지만 이후에는 감소세를 보여 9월 179조원, 10월 160조원, 11월 163조원에서 12월 136조원으르 급감했다. ,    코스피가 수년째 박스권에 갇혀 화끈한 상승 흐름을 보이지 못한 것도 투자자들이 증시에서 이탈한 이유로 꼽힌다.,    지난해 종가 기준으로 코스피 최고치는 9월 29일의 2,068.72, 최저치는 2월 12일의 1,835.28로 격차는 200포인트가 조금 넘었다.,    지난해 전체 채권 거래대금은 5천55조원으로 전년(5천528억원)보다 소폭 줄긴 했지만 큰 차이를 보이지 않았다. 이 대목에서 위험자산으로 분류되는 주식보다는 안전자산인 채권 선호심리가 더 컸다는 사실을 확인할 수 있다.,    한국거래소 관계자는 ""지난해 국내외에서 나온 이슈가 모두 증시에는 대체로 호재가 아닌 악재였다""며 ""올해는 이런 악재를 둘러싼 불확실성이 점차 제거될 것이란 점에서 지난해와는 다른 흐름을 보일 것으로 기대하고 있다""고 말했다.,    kaka@yna.co.kr,
	,
	","2017.01.06. 오전 5:00,2017.01.06. 오전 6:21",연합뉴스,'최순실·미금리인상' 직격탄…주식거래대금 10% 줄어,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0008939506
"
	,
	,

,
,
// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
,
	
	, [연합뉴스자료사진],해외펀드투자 100조 육박…사모펀드만 59조원 달해 ,해외주식형펀드 규모는 10년새 48조원 급감,(서울=연합뉴스) 윤선희 기자 = 국내 자산가들이 해외부동산 등 해외투자펀드에 돈을 쏟아붓고 있다. 코스피 시장이 오랜 기간 박스권에 머물러 수익률을 좀처럼 높이기가 어려운 상황과 국내 주식투자로 본 손실을 해외에서 만회하려는 시도가 맞물린 것으로 보인다. ,    공·사모 해외투자펀드 순자산 규모가 6일 기준 91조7천억원이다. 역대 최대다.,    해외투자펀드의 순자산은 작년 12월 22일 처음으로 90조1천억원으로 90조원을 돌파했다. 이후 증가추세가 꾸준하다. 이런 추세라면 해외투자펀드 순자산 100조원 돌파가 초읽기에 들어갔다고 볼 수 있다. ,    해외투자펀드에 월간 단위로 2014년 9월부터 작년 말까지 28개월에 걸쳐 시중 자금 29조4천억원이 순유입됐다. ,    자산 유형별로 부동산펀드로 가장 많은 12조7천억원이 몰렸다. 실물자산 등 특별자산펀드에도 7조5천억원이 들어갔다. 채권형 펀드와 재간섭펀드로는 각각 3조7천억원, 4조2천억원이 순유입했다. ,    다만 이 기간 주식형 펀드에선 1조2천억원이 빠져나갔다. ,    2008년 글로벌 금융위기 이후 급격하게 이탈했던 해외투자펀드에 자금이 몰리는 이유는 기관이나 개인 부자들 사이에서 주식 외에 다양한 해외 자산에 투자하는 사모펀드가 인기를 끌고 있는데서 찾을 수 있다.,    증권사 등 금융기관 창구에서 판매하는 공모펀드보다 입소문을 타고 소수가 모여 투자하는 사모펀드가 최근 큰 폭으로 성장했다. ,    사모펀드 순자산 규모는 현재 해외투자펀드의 절반이 넘는 59조원에 달한다. ,    사모펀드는 불특정 다수를 대상으로 공개 판매되는 공모펀드와 달리 49인 이하의 투자자들이 돈을 모아 운용하는 펀드다. 최근 이렇게 조성된 사모펀드는 항공기나 오피스건물 등 실물자산을 비롯한 다양한 자산에 투자해 예금 금리 이상의 수익을 추구하는 대체투자를 선호한다. ,    해외주식형펀드 순자산 규모는 2007년 12월 6일 64조570억원에서 지난 6일 15조7천800억원으로 10년 새 48조원 넘게 급감했다.,     금투협 관계자는 ""저성장과 저금리 속에 증시마저 장기 박스권에 갇혀 전통적인 주식형 상품에 투자했다가 손실을 경험한 자산가들이 해외 대체투자로 눈을 돌리면서 해외투자펀드로 자금이 몰리는 현상이 두드러졌다""고 설명했다. ,    indigo@yna.co.kr,
	,
	","2017.01.12. 오후 2:04,2017.01.12. 오후 3:52",연합뉴스,"거액자산가들, 해외부동산 등 사모펀드투자 대거 늘려(종합)",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0008954447
"
	,
	,

,
,
// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
,
	
	,(밴쿠버=연합뉴스) 조재용 통신원= 캐나다 중앙은행인 캐나다은행은 18일(현지시간) 도널드 트럼프 차기 미국 행정부의 무역 정책이 캐나다 경제에 미칠 영향을 주시하고 있다고 밝혔다.,     스티븐 폴로즈 캐나다은행 총재는 이날 정례 금리정책 조정회의 후 ""미국의 새로운 정책 규칙이 캐나다 기업들에 부정적 영향을 미칠 수 있다는 가정을 해 볼 수 있다""며 이같이 밝혔다고 CBC 방송이 전했다.,     폴로즈 총재는 다만 ""구체적인 내용이 드러나기 전까지는 캐나다 경제에 대한 충격의 정도를 판단하기는 어렵다""고 덧붙였다.,     이날 회의에서 캐나다은행은 기준금리를 현행 0.5% 수준으로 유지했다.,     기준금리는 지난 2015년 7월 이래 같은 수준으로 동결돼 왔다.,     캐나다은행은 올해와 내년도 경제성장률을 2.1%로 각각 예측하면서 트럼프 정부가 미국 경제 부양 조치를 취할 것으로 기대되는 만큼 캐나다 수출과 기업의 신뢰를 높일 수 있다고 밝혔다.,     한 분석가는 중앙은행이 미국의 차기 정부 출범에 따른 정책 관리에 고민이 많을 것이라고 진단하고 미국의 보호주의 정책 기조가 양국 교역관계 전반에 영향을 미치기보다는 몇몇 특정 부문에 파급효과를 가질 것이라고 내다봤다.,스티븐 폴로즈 캐나다은행 총재 [AP=연합뉴스 자료사진],jaeycho@yna.co.kr, #흥 내 생활에 흥! (클릭해보면 hot hot!),
	,
	",2017.01.19. 오전 11:16,연합뉴스,"캐나다 중앙은행 ""미국 트럼프 정부 무역 정책 주시""",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=104&oid=001&aid=0008971224
"
	,
	,

,
,
// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
,
	
	,인플레이션 기대 영향…주요국 금융완화 끝물 가능성도 일조,(서울=연합뉴스) 문정식 기자 = 기업의 달러화 단기 차입 비용을 가늠하는 지표인 3개월 만기 달러화 리보(Libor·런던 은행간 금리)가 금융위기 이후 처음으로 1% 선을 넘어섰다.,    5일 마켓워치에 따르면 3개월 만기 달러화 리보 금리는 지난 4일 1.00511%를 기록했다. ,    이 금리가 1%선을 돌파한 것은 2009년 5월 이후 처음이다.,    3개월 만기 달러화 리보 금리는 글로벌 은행들이 무담보 단기 달러화 대출 때 매기는 금리로 금융위기가 절정을 이룰 당시에도 크게 치솟으면서 그 동향이 주목을 받기 시작했다. 글로벌 금융시스템이 받는 스트레스의 강도를 가리킨다는 이유에서다. ,    3개월 만기 달러화 리보 금리는 지난해 가을부터 오름세를 보이면서 다시 투자자들의 레이다에 포착됐다. 이 금리는 지난해 10월14일 0.88%였고 12월 9일에는 0.96%까지 움직였기 때문이다. ,금리가 오른 데는 지난해 10월 중순 미국의 머니마켓펀드(MMF)에 새로운 규제가 적용되면서 MMF에서 자금이 빠져나가기 시작한 것이 한몫을 한 것으로 보인다. ,    미국 증권당국은 리먼 브러더스 파산 당시 MMF에 환매 요구가 빗발쳤던 사례가 재발하지 않도록 금융위기 시에는 프라임 MMF에 환매를 중단하거나 환매 수수료를 부과할 수 있도록 했었다.  ,    애널리스트들은 3개월 만기 달러화 리보 금리가 다시 1%선을 돌파한 것은 글로벌 인플레이션의 상승과 미국의 추가 금리 인상에 대한 기대감, 주요국 중앙은행들의 금융완화가 끝물에 와있다는 시장의 판단 때문이라고 풀이하고 있다. ,    마켓워치는 리보 금리의 상승이 반드시 패닉의 조짐을 의미하는 것은 아니지만 지속적으로 상승한다는 것은 신용시장에서 진행 중인 지각 변동의 신호로 보인다고 말했다. ,    컴버랜드 어드바이저스의 데이비드 코톡 수석투자책임자(CIO)는 리보 금리의 상승이 어쩌면 30여년에 걸친 차입비용의 하락세가 종막을 고하는 있음을 뜻하는 것일 수도 있다고 주장했다.,    jsmoon@yna.co.kr,
	,
	","2017.01.05. 오후 3:56,2017.01.05. 오후 4:05",연합뉴스,금리인상 빨라질까…'3개월 리보' 2009년 이후 첫 1% 돌파,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0008938746
"
	,
	,

,
,
// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
,
	
	,▲ 키움투자자산운용이 16일 금리와 물가 상승기에 대비할 수 있는 '키움 글로벌 금리와 물가연동 펀드'를 출시했다.,    이 펀드는 미국의 2∼3차례 추가 금리 인상과 도널드 트럼프 대통령 정부 출범 후 대규모 경기부양책에 따른 물가 상승에 대비하기 위한 상품으로 글로벌 금리와 물가에 동시에 연동돼 수익을 추구한다. (서울=연합뉴스)  ,
	,
	",2017.01.16. 오전 9:16,연합뉴스,"[게시판] 키움투자자산운용, 금리·물가연동펀드 출시",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0008961281
